time	oxygen	pressure	temperature	salinity
30-07-2019 05:39:45	80.18	0.02	20.70	0.01
30-07-2019 05:39:45	80.18	0.00	20.70	0.01
30-07-2019 05:39:46	80.19	0.00	20.71	0.01
30-07-2019 05:39:46	80.19	-0.01	20.70	0.01
30-07-2019 05:39:46	80.19	0.00	20.71	0.01
30-07-2019 05:39:47	80.19	-0.03	20.71	0.01
30-07-2019 05:39:47	80.19	0.00	20.71	0.01
30-07-2019 05:39:48	80.18	-0.01	20.71	0.01
30-07-2019 05:39:49	80.18	0.00	20.71	0.01
30-07-2019 05:39:49	80.18	-0.01	20.71	0.01
30-07-2019 05:39:49	80.18	0.03	20.71	0.01
30-07-2019 05:39:50	80.18	0.00	20.72	0.01
30-07-2019 05:39:50	80.18	0.01	20.72	0.01
30-07-2019 05:39:50	80.18	-0.02	20.72	0.01
30-07-2019 05:39:51	80.18	0.01	20.71	0.01
30-07-2019 05:39:52	80.18	-0.02	20.71	0.01
30-07-2019 05:39:53	80.18	0.01	20.71	0.01
30-07-2019 05:39:53	80.18	-0.02	20.71	0.01
30-07-2019 05:39:54	80.18	0.00	20.71	0.01
30-07-2019 05:39:54	80.18	0.00	20.72	0.01
30-07-2019 05:39:55	80.17	0.01	20.72	0.01
30-07-2019 05:39:55	80.16	0.00	20.72	0.01
30-07-2019 05:39:56	80.16	0.02	20.71	0.01
30-07-2019 05:39:56	80.16	0.00	20.71	0.01
30-07-2019 05:39:57	80.16	0.00	20.71	0.01
30-07-2019 05:39:57	80.17	0.00	20.71	0.01
30-07-2019 05:39:57	80.17	0.04	20.71	0.01
30-07-2019 05:39:58	80.17	-0.01	20.71	0.01
30-07-2019 05:39:58	80.18	0.01	20.71	0.01
30-07-2019 05:39:58	80.18	-0.02	20.72	0.01
30-07-2019 05:39:59	80.17	0.01	20.72	0.01
30-07-2019 05:40:00	80.17	-0.01	20.72	0.01
30-07-2019 05:40:00	80.17	0.00	20.71	0.01
30-07-2019 05:40:01	80.16	-0.01	20.72	0.01
30-07-2019 05:40:01	80.17	0.01	20.72	0.01
30-07-2019 05:40:01	80.17	-0.01	20.71	0.01
30-07-2019 05:40:02	80.17	0.00	20.72	0.01
30-07-2019 05:40:02	80.18	0.00	20.72	0.01
30-07-2019 05:40:03	80.18	0.01	20.72	0.01
30-07-2019 05:40:03	80.18	-0.02	20.72	0.01
30-07-2019 05:40:04	80.18	0.01	20.72	0.01
30-07-2019 05:40:04	80.18	-0.02	20.71	0.01
30-07-2019 05:40:04	80.18	0.01	20.71	0.01
30-07-2019 05:40:05	80.18	-0.01	20.72	0.01
30-07-2019 05:40:05	80.18	0.03	20.71	0.01
30-07-2019 05:40:06	80.17	0.00	20.71	0.01
30-07-2019 05:40:06	80.18	0.00	20.71	0.01
30-07-2019 05:40:06	80.18	-0.02	20.71	0.01
30-07-2019 05:40:07	80.17	0.00	20.72	0.01
30-07-2019 05:40:07	80.17	-0.04	20.72	0.01
30-07-2019 05:40:08	80.17	0.03	20.72	0.01
30-07-2019 05:40:08	80.16	0.00	20.72	0.01
30-07-2019 05:40:09	80.16	0.00	20.72	0.01
30-07-2019 05:40:09	80.16	-0.02	20.72	0.01
30-07-2019 05:40:10	80.17	0.01	20.71	0.01
30-07-2019 05:40:11	80.18	-0.01	20.71	0.01
30-07-2019 05:40:11	80.18	0.01	20.71	0.01
30-07-2019 05:40:11	80.18	-0.01	20.70	0.01
30-07-2019 05:40:12	80.19	0.04	20.70	0.01
30-07-2019 05:40:12	80.19	-0.01	20.70	0.01
30-07-2019 05:40:13	80.19	0.00	20.70	0.01
30-07-2019 05:40:13	80.19	0.00	20.70	0.01
30-07-2019 05:40:14	80.19	0.00	20.69	0.01
30-07-2019 05:40:14	80.18	-0.01	20.69	0.01
30-07-2019 05:40:15	80.19	0.01	20.70	0.01
30-07-2019 05:40:15	80.19	-0.01	20.70	0.01
30-07-2019 05:40:15	80.19	0.02	20.69	0.01
30-07-2019 05:40:16	80.18	-0.01	20.70	0.01
30-07-2019 05:40:16	80.18	0.00	20.71	0.01
30-07-2019 05:40:17	80.18	-0.01	20.71	0.01
30-07-2019 05:40:17	80.17	0.01	20.71	0.01
30-07-2019 05:40:18	80.17	0.00	20.71	0.01
30-07-2019 05:40:18	80.18	0.01	20.71	0.01
30-07-2019 05:40:19	80.18	-0.02	20.71	0.01
30-07-2019 05:40:19	80.18	0.02	20.71	0.01
30-07-2019 05:40:20	80.18	0.00	20.70	0.01
30-07-2019 05:40:20	80.18	0.01	20.70	0.01
30-07-2019 05:40:20	80.18	-0.01	20.70	0.01
30-07-2019 05:40:21	80.18	0.00	20.71	0.01
30-07-2019 05:40:21	80.18	-0.01	20.71	0.01
30-07-2019 05:40:22	80.17	0.00	20.71	0.01
30-07-2019 05:40:22	80.17	-0.01	20.71	0.01
30-07-2019 05:40:22	80.17	0.02	20.71	0.01
30-07-2019 05:40:23	80.17	-0.01	20.71	0.01
30-07-2019 05:40:23	80.17	0.00	20.71	0.01
30-07-2019 05:40:24	80.18	0.00	20.71	0.01
30-07-2019 05:40:24	80.18	0.01	20.71	0.01
30-07-2019 05:40:24	80.18	-0.01	20.71	0.01
30-07-2019 05:40:25	80.17	0.00	20.71	0.01
30-07-2019 05:40:26	80.16	0.00	20.71	0.01
30-07-2019 05:40:26	80.16	0.00	20.71	0.01
30-07-2019 05:40:27	80.16	-0.01	20.71	0.01
30-07-2019 05:40:27	80.16	0.00	20.71	0.01
30-07-2019 05:40:28	80.16	0.00	20.71	0.01
30-07-2019 05:40:29	80.17	0.00	20.71	0.01
30-07-2019 05:40:29	80.17	-0.01	20.71	0.01
30-07-2019 05:40:29	80.17	0.02	20.71	0.01
30-07-2019 05:40:29	80.16	-0.01	20.70	0.01
30-07-2019 05:40:30	80.16	0.02	20.70	0.01
30-07-2019 05:40:30	80.17	-0.02	20.71	0.01
30-07-2019 05:40:30	80.17	0.01	20.71	0.01
30-07-2019 05:40:31	80.16	-0.01	20.71	0.01
30-07-2019 05:40:31	80.17	0.00	20.71	0.01
30-07-2019 05:40:31	80.17	0.00	20.71	0.01
30-07-2019 05:40:32	80.17	0.00	20.71	0.01
30-07-2019 05:40:32	80.17	-0.01	20.71	0.01
30-07-2019 05:40:33	80.16	0.02	20.72	0.01
30-07-2019 05:40:33	80.16	-0.01	20.72	0.01
30-07-2019 05:40:34	80.15	0.03	20.71	0.01
30-07-2019 05:40:34	80.15	-0.03	20.71	0.01
30-07-2019 05:40:35	80.15	0.02	20.71	0.01
30-07-2019 05:40:35	80.15	-0.02	20.71	0.01
30-07-2019 05:40:35	80.15	0.02	20.71	0.01
30-07-2019 05:40:36	80.15	-0.01	20.71	0.01
30-07-2019 05:40:36	80.15	0.00	20.71	0.01
30-07-2019 05:40:37	80.15	0.00	20.72	0.01
30-07-2019 05:40:37	80.15	0.00	20.71	0.01
30-07-2019 05:40:38	80.15	-0.02	20.72	0.01
30-07-2019 05:40:38	80.15	0.02	20.72	0.01
30-07-2019 05:40:39	80.15	-0.01	20.72	0.01
30-07-2019 05:40:39	80.15	0.01	20.71	0.01
30-07-2019 05:40:40	80.16	-0.01	20.71	0.01
30-07-2019 05:40:40	80.17	0.01	20.71	0.01
30-07-2019 05:40:41	80.17	-0.02	20.72	0.01
30-07-2019 05:40:41	80.18	0.00	20.71	0.01
30-07-2019 05:40:41	80.18	-0.03	20.71	0.01
30-07-2019 05:40:42	80.18	0.01	20.71	0.01
