time	oxygen	pressure	temperature	salinity
30-07-2019 03:26:34	65.083,00	242.121,00	16.86	35.883,00
30-07-2019 03:26:35	65.186,00	243.096,00	16.82	35.845,00
30-07-2019 03:26:39	65.231,00	244.025,00	16.735,00	35.825,00
30-07-2019 03:26:40	65.14	245.029,00	16.711,00	35.837,00
30-07-2019 03:26:41	65.09	246.077,00	16.684,00	35.815,00
30-07-2019 03:26:42	65.126,00	247.016,00	16.647,00	35.785,00
30-07-2019 03:26:44	65.023,00	248.106,00	16.593,00	35.795,00
30-07-2019 03:26:45	64.935,00	249.091,00	16.576,00	35.798,00
30-07-2019 03:26:45	64.787,00	250.029,00	16.539,00	35.769,00
30-07-2019 03:26:46	64.681,00	251.024,00	16.503,00	35.785,00
30-07-2019 03:26:47	64.67	252.084,00	16.459,00	35.799,00
30-07-2019 03:26:48	64.794,00	253.061,00	16.417,00	35.749,00
30-07-2019 03:26:50	64.861,00	254.077,00	16.375,00	35.756,00
30-07-2019 03:26:51	64.734,00	255.025,00	16.339,00	35.763,00
30-07-2019 03:26:53	64.772,00	256.045,00	16.313,00	35.763,00
30-07-2019 03:26:54	64.723,00	257.097,00	16.283,00	35.761,00
30-07-2019 03:26:55	64.695,00	258.033,00	16.261,00	35.772,00
30-07-2019 03:26:57	64.659,00	259.031,00	16.242,00	35.781,00
30-07-2019 03:26:58	64.589,00	260.018,00	16.21	35.74
30-07-2019 03:26:59	64.501,00	261.025,00	16.188,00	35.754,00
30-07-2019 03:27:00	64.419,00	262.022,00	16.167,00	35.719,00
30-07-2019 03:27:01	64.381,00	263.11	16.143,00	35.719,00
30-07-2019 03:27:02	64.472,00	264.001,00	16.126,00	35.732,00
30-07-2019 03:27:03	64.631,00	265.045,00	16.082,00	35.697,00
30-07-2019 03:27:05	64.497,00	266.086,00	16.05	35.712,00
30-07-2019 03:27:06	64.529,00	267.006,00	16.035,00	35.699,00
30-07-2019 03:27:07	64.419,00	268.153,00	16.003,00	35.699,00
30-07-2019 03:27:10	64.472,00	269.02	15.959,00	35.677,00
30-07-2019 03:27:11	64.405,00	270.014,00	15.957,00	35.696,00
30-07-2019 03:27:12	64.324,00	271.095,00	15.953,00	35.692,00
30-07-2019 03:27:13	64.296,00	272.025,00	15.952,00	35.689,00
30-07-2019 03:27:14	64.352,00	273.022,00	15.944,00	35.701,00
30-07-2019 03:27:15	64.455,00	274.048,00	15.933,00	35.695,00
30-07-2019 03:27:16	64.522,00	275.064,00	15.91	35.697,00
30-07-2019 03:27:17	64.578,00	276.111,00	15.893,00	35.694,00
30-07-2019 03:27:18	64.568,00	277.007,00	15.874,00	35.63
30-07-2019 03:27:21	64.395,00	278.076,00	15.823,00	35.658,00
30-07-2019 03:27:22	64.197,00	279.038,00	15.787,00	35.663,00
30-07-2019 03:27:23	64.176,00	280.063,00	15.737,00	35.668,00
30-07-2019 03:27:24	64.148,00	281.099,00	15.691,00	35.659,00
30-07-2019 03:27:25	64.119,00	282.069,00	15.657,00	35.623,00
30-07-2019 03:27:27	64.098,00	283.007,00	15.625,00	35.637,00
30-07-2019 03:27:28	64.045,00	284.042,00	15.612,00	35.643,00
30-07-2019 03:27:29	64.003,00	285.115,00	15.604,00	35.64
30-07-2019 03:27:30	63.996,00	286.115,00	15.584,00	35.642,00
30-07-2019 03:27:31	64.042,00	287.075,00	15.545,00	35.572,00
30-07-2019 03:27:33	64.035,00	288.003,00	15.474,00	35.591,00
30-07-2019 03:27:34	63.89	289.139,00	15.421,00	35.602,00
30-07-2019 03:27:35	63.791,00	290.174,00	15.389,00	35.594,00
30-07-2019 03:27:36	63.745,00	291.116,00	15.372,00	35.604,00
30-07-2019 03:27:37	63.791,00	292.006,00	15.356,00	35.611,00
30-07-2019 03:27:39	63.879,00	293.041,00	15.316,00	35.565,00
30-07-2019 03:27:41	63.812,00	294.021,00	15.276,00	35.583,00
30-07-2019 03:27:42	63.717,00	295.088,00	15.254,00	35.588,00
30-07-2019 03:27:43	63.65	296.096,00	15.24	35.593,00
30-07-2019 03:27:44	63.65	297.121,00	15.223,00	35.599,00
30-07-2019 03:27:45	63.741,00	298.046,00	15.203,00	35.56
30-07-2019 03:27:46	63.741,00	299.073,00	15.19	35.577,00
30-07-2019 03:27:48	63.667,00	300.126,00	15.186,00	35.589,00
30-07-2019 03:27:49	63.681,00	301.084,00	15.18	35.567,00
30-07-2019 03:27:50	63.688,00	302.065,00	15.167,00	35.555,00
30-07-2019 03:27:52	63.558,00	303.075,00	15.139,00	35.565,00
30-07-2019 03:27:53	63.452,00	304.085,00	15.114,00	35.568,00
30-07-2019 03:27:54	63.371,00	305.152,00	15.099,00	35.57
30-07-2019 03:27:55	63.371,00	306.085,00	15.089,00	35.56
30-07-2019 03:27:55	63.42	307.018,00	15.065,00	35.576,00
30-07-2019 03:27:59	63.455,00	308.115,00	15.02	35.551,00
30-07-2019 03:28:00	63.328,00	309.149,00	15.018,00	35.553,00
30-07-2019 03:28:00	63.265,00	310.002,00	15.006,00	35.543,00
30-07-2019 03:28:01	63.212,00	311.138,00	14.965,00	35.551,00
30-07-2019 03:28:03	63.335,00	312.029,00	14.926,00	35.507,00
30-07-2019 03:28:05	63.3	313.044,00	14.873,00	35.526,00
30-07-2019 03:28:06	63.18	314.058,00	14.858,00	35.522,00
30-07-2019 03:28:06	63.081,00	315.021,00	14.84	35.527,00
30-07-2019 03:28:07	63.014,00	316.011,00	14.825,00	35.528,00
30-07-2019 03:28:08	63.102,00	317.042,00	14.811,00	35.509,00
30-07-2019 03:28:11	63.071,00	318.049,00	14.774,00	35.513,00
30-07-2019 03:28:12	62.965,00	319.12	14.76	35.511,00
30-07-2019 03:28:13	62.901,00	320.004,00	14.743,00	35.517,00
30-07-2019 03:28:14	62.883,00	321.058,00	14.734,00	35.526,00
30-07-2019 03:28:15	62.996,00	322.111,00	14.732,00	35.526,00
30-07-2019 03:28:16	63.109,00	323.052,00	14.705,00	35.486,00
30-07-2019 03:28:18	62.975,00	324.099,00	14.694,00	35.512,00
